match_id,date,league,turn,team_1,team_2,goals_1,goals_2,winner,possession_1,possession_2,goal_chances_1,goal_chances_2,shots_on_target_1,shots_on_target_2,shots_off_target_1,shots_off_target_2,offsides_1,offsides_2,goalkeeper_saves_1,goalkeeper_saves_2,fouls_1,fouls_2,attacks_1,attacks_2,dangerous_attacks_1,dangerous_attacks_2,red_cards_1,red_cards_2,bet_1,bet_x,bet_2,team_1_formation,team_2_formation,month,day_of_week,shots_1,shots_2,player_0_team_1,player_0_team_2,player_1_team_1,player_1_team_2,player_2_team_1,player_2_team_2,player_3_team_1,player_3_team_2,player_4_team_1,player_4_team_2,player_5_team_1,player_5_team_2,player_6_team_1,player_6_team_2,player_7_team_1,player_7_team_2,player_8_team_1,player_8_team_2,player_9_team_1,player_9_team_2,player_10_team_1,player_10_team_2
pOEQ3YIq,2022-04-27 18:30:00,Tipico Bundesliga,29.0,Wolfsberger,Austria Wiedeń,1.0,1.0,0.0,50,50,5.0,12.0,2.0,8.0,3.0,3.0,1.0,4.0,7.0,1.0,13.0,14.0,104.0,102.0,47.0,41.0,0.0,0.0,2.13,3.4,3.5,4 - 3 - 1 - 2,4 - 2 - 3 - 1,4,2,5.0,11.0,8.4,6.2,7.0,6.8,7.1,7.0,7.6,6.9,7.0,7.9,6.6,7.0,6.4,7.2,7.0,8.1,6.6,6.7,6.3,6.8,6.3,6.7
2NsUvno7,2022-04-26 18:30:00,Tipico Bundesliga,29.0,Hartberg,Altach,4.0,0.0,1.0,58,42,16.0,7.0,7.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,15.0,14.0,98.0,90.0,45.0,37.0,0.0,1.0,2.08,3.3,3.65,4 - 3 - 1 - 2,5 - 3 - 2,4,1,13.0,3.0,6.7,6.0,8.0,6.4,7.1,4.5,7.3,5.8,7.1,6.8,7.3,6.0,7.2,6.3,6.9,6.3,8.7,6.4,7.3,6.0,7.5,6.3
KbhPuSV0,2022-04-26 18:30:00,Tipico Bundesliga,29.0,Ried,Admira,1.0,1.0,0.0,45,55,9.0,10.0,4.0,2.0,3.0,5.0,2.0,4.0,1.0,3.0,17.0,15.0,73.0,89.0,31.5,41.0,0.0,0.0,2.18,3.25,3.45,4 - 4 - 2,4 - 2 - 3 - 1,4,1,7.0,7.0,5.8,7.0,7.0,7.1,6.8,7.2,6.8,7.1,6.9,7.3,7.9,6.4,6.4,6.8,7.2,6.8,6.9,6.6,6.6,7.2,6.3,7.2
EcoYw60D,2022-04-26 18:30:00,Tipico Bundesliga,29.0,Tirol,LASK,4.0,0.0,1.0,35,65,13.0,25.0,7.0,7.0,5.0,12.0,1.0,3.0,7.0,3.0,11.0,10.0,105.0,126.0,40.0,65.0,0.0,0.0,3.95,3.85,1.83,5 - 3 - 2,3 - 4 - 3,4,1,12.0,19.0,8.2,5.1,7.7,7.0,6.8,5.9,8.8,5.8,6.8,6.7,7.3,6.6,6.8,7.0,7.0,6.8,7.5,7.0,8.4,6.4,8.2,6.2
8bicL0lH,2022-04-24 17:00:00,Tipico Bundesliga,28.0,Rapid Wiedeń,Sturm Graz,1.0,1.0,0.0,60,40,6.0,7.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,0.0,20.0,16.0,0.0,102.0,0.0,50.5,0.0,1.0,2.85,3.6,2.38,4 - 2 - 3 - 1,4 - 3 - 1 - 2,4,6,2.0,6.0,6.4,6.3,6.6,7.0,0.0,7.5,6.6,5.7,7.6,6.9,6.9,6.7,7.1,7.0,6.8,6.9,6.4,6.5,6.4,6.3,6.3,6.6
jNdhMtZA,2022-04-24 14:30:00,Tipico Bundesliga,28.0,A. Klagenfurt,Wolfsberger,2.0,3.0,2.0,38,62,10.0,16.0,4.0,5.0,5.0,6.0,1.0,0.0,2.0,2.0,7.0,13.0,0.0,110.0,0.0,50.0,0.0,0.0,4.6,4.1,1.7,4 - 1 - 4 - 1,4 - 3 - 1 - 2,4,6,9.0,11.0,5.7,6.5,6.5,8.4,6.3,6.5,7.0,7.1,6.1,6.9,6.6,8.9,6.4,7.8,6.6,6.8,5.8,7.4,7.0,7.1,8.5,6.5
CWclNMJ4,2022-04-24 14:30:00,Tipico Bundesliga,28.0,RB Salzburg,Austria Wiedeń,5.0,0.0,1.0,56,44,24.0,3.0,15.0,1.0,6.0,1.0,1.0,1.0,1.0,10.0,5.0,10.0,144.0,102.0,73.0,41.0,0.0,1.0,1.29,5.8,9.8,4 - 3 - 1 - 2,3 - 4 - 3,4,6,21.0,2.0,6.8,7.2,7.3,5.6,7.7,6.2,7.2,6.0,7.1,3.6,9.2,6.6,8.8,5.8,8.2,6.0,8.7,6.3,9.1,6.0,7.6,6.2
CYlHsl1l,2022-04-23 17:00:00,Tipico Bundesliga,28.0,Admira,Hartberg,1.0,3.0,2.0,33,67,9.0,20.0,3.0,9.0,4.0,5.0,0.0,4.0,6.0,2.0,11.0,14.0,97.0,91.0,43.0,37.0,1.0,0.0,2.07,3.25,3.65,4 - 2 - 3 - 1,4 - 3 - 1 - 2,4,5,7.0,14.0,6.8,6.8,3.6,7.2,5.8,7.3,5.6,6.6,6.0,7.4,6.6,6.9,6.1,7.4,5.7,7.5,6.5,7.4,7.0,7.5,7.0,6.4
YsjDrUor,2022-04-23 17:00:00,Tipico Bundesliga,28.0,LASK,Altach,2.0,1.0,1.0,61,39,12.0,9.0,3.0,4.0,8.0,2.0,2.0,2.0,3.0,1.0,18.0,9.0,117.0,90.0,58.0,37.0,0.0,1.0,1.27,5.8,10.0,3 - 4 - 3,5 - 3 - 2,4,5,11.0,6.0,7.0,5.8,7.2,6.5,6.8,6.1,7.8,6.6,6.6,5.0,7.2,6.5,7.9,6.2,7.1,6.4,8.1,6.4,6.9,6.1,7.5,7.0
t8gLt8Gf,2022-04-23 17:00:00,Tipico Bundesliga,28.0,Tirol,Ried,2.0,0.0,1.0,47,53,10.0,8.0,4.0,2.0,4.0,3.0,1.0,4.0,2.0,2.0,16.0,14.0,105.0,97.0,40.0,36.0,0.0,1.0,2.48,3.35,2.8,4 - 4 - 1 - 1,3 - 4 - 1 - 2,4,5,8.0,5.0,7.0,6.1,7.0,7.0,7.2,6.1,6.7,5.1,7.3,6.8,7.0,6.4,8.1,6.4,7.0,6.3,6.5,6.2,6.5,6.3,7.6,6.4
